allen_structure_id,acronym,name,total_density_cells_per_mm3,neuron_density,astrocyte_density,oligodendrocyte_density,microglia_density,glia_density,region_volume_mm3,murakami_total_density,murakami_total_count_mean,murakami_total_count_sd,murakami_is_leaf_region,rodarie_neuron_density,rodarie_region_volume_mm3,ero_region_volume_mm3,ero_total_count,rodarie_gad67_density,rodarie_pv_density,rodarie_sst_density,rodarie_vip_density
15,PT,Parataenial nucleus,142179.431072,66198.68709,7520.350109,42314.223195,26146.170678,75980.743983,0.142813,106335.229759,15186.0,186.652083,True,47742.046286,0.142813,0.142813,20305,1617.358154,160.239212,1453.987061,3.131984
17,SCiw,"Superior colliculus, motor related, intermediate white layer",132331.506573,48220.018156,8496.251219,45213.999933,30401.237266,84111.488417,0.929469,122826.435352,114163.333333,6288.56751,True,22740.689092,0.929469,0.929469,122998,22740.689453,2631.811768,9677.529297,63.635273
19,IG,Induseum griseum,166378.648874,97227.689741,7953.294412,39552.960801,21644.70392,69150.959133,0.037469,276176.814012,10348.0,952.122366,True,104898.908997,0.037469,0.037469,6234,25623.501953,649.507507,2776.771484,4098.190918
20,ENTl2,"Entorhinal area, lateral part, layer 2",214716.242661,140477.495108,172.21135,50348.336595,23718.199609,74238.747554,0.063875,102116.112198,6522.666667,859.855996,True,165787.953916,0.063875,0.063875,13715,11790.256836,635.58551,4298.770508,2739.228271
21,lotg,"lateral olfactory tract, general",126210.117607,0.0,18795.565809,70505.880367,36908.671431,126210.117607,1.110688,,,,,,,1.110688,140180,,,,
22,PTLp,Posterior parietal association areas,180174.805391,89948.795445,10683.441986,43267.672952,36274.895008,90226.009946,3.556812,,,,,87115.887674,3.556812,3.556813,640848,18381.148438,4413.79541,5173.433594,2550.331299
23,AAA,Anterior amygdalar area,112832.8812,55653.170907,10528.535599,46642.985105,8.189589,57179.710293,0.610531,103674.190852,63296.333333,5455.103146,True,30023.893078,0.610531,0.610531,68888,30023.890625,288.169495,13675.023438,165.137024
26,SCdg,"Superior colliculus, motor related, deep gray layer",129127.740086,50175.218169,7927.185539,45470.085928,25555.25045,78952.521917,2.332984,100840.223873,235258.666667,10015.452278,True,25872.536475,2.332984,2.332984,301253,25872.535156,1326.922852,7029.620605,53.178051
27,IGL,Intergeniculate leaflet of the lateral geniculate complex,156873.50372,70325.461016,11450.016176,54879.327079,20218.69945,86548.042705,0.096594,162060.174701,15654.0,472.386494,True,59267.976267,0.096594,0.096594,15153,14265.073242,1075.512939,4972.373535,7.69738
28,ENTl6a,"Entorhinal area, lateral part, layer 6a",173894.063411,100087.147024,7001.008024,42873.109955,23932.798409,73806.916388,1.162547,98293.384227,114270.666667,6704.085421,True,97135.00863,1.162547,1.162547,202160,15862.951172,1207.890381,9384.870117,1085.633911
30,PVa,"Periventricular hypothalamic nucleus, anterior part",199409.761635,141475.595914,28149.829739,13802.497162,15981.83882,57934.165721,0.027531,115650.397276,3184.0,179.451943,True,163854.73653,0.027531,0.027531,5490,0.0,0.0,0.0,0.0
31,ACA,Anterior cingulate area,151671.684034,75980.696448,9435.930577,32432.074055,33822.982955,75690.987587,5.222484,,,,,64599.942779,5.222484,5.222484,792103,17302.423828,3551.541016,4132.663574,2599.543945
33,VISp6a,"Primary visual area, layer 6a",200755.583413,99386.53383,10512.18949,55030.119091,35826.741002,101369.049583,0.947281,197190.996162,186795.333333,6582.97686,True,102263.402751,0.947281,0.947281,190172,18999.998047,7130.758301,4815.010254,1179.278564
35,III,Oculomotor nucleus,171631.265335,89774.973712,20750.087627,43048.019628,18058.184367,81856.291623,0.044578,168004.673443,7489.333333,240.429477,True,90850.125371,0.044578,0.044578,7651,14021.625977,5495.629395,3794.841309,129.966507
36,GU1,"Gustatory areas, layer 1",57444.110777,33409.409409,4441.775108,6224.891558,13368.034701,24034.701368,0.374625,78245.356468,29312.666667,2166.584716,True,6713.387942,0.374625,0.374625,21520,6713.388184,46.986961,532.519226,1607.276978
38,PVH,Paraventricular hypothalamic nucleus,181181.64546,109889.573378,12277.505901,40826.76032,18187.805861,71292.072082,0.271391,,,,,122246.876283,0.271391,0.271391,49171,30616.794922,294.580383,11281.269531,82.989067
39,ACAd,"Anterior cingulate area, dorsal part",145192.068372,66059.018983,8218.384904,31388.576425,39526.08806,79133.049389,2.769766,,,,,49497.95062,2.769766,2.769766,402148,14561.253906,3695.195068,4371.449219,2432.458252
41,VISpm2/3,"posteromedial visual area, layer 2/3",213236.943868,160303.49656,13616.965848,6567.50926,32748.972198,52933.447307,0.383859,98546.505475,37828.0,5794.490746,True,185596.044369,0.383859,0.383859,81853,11064.523438,2073.031006,2736.843994,6254.650391
42,SCdw,"Superior colliculus, motor related, deep white layer",124302.752294,49302.752294,7844.036697,43623.853211,23532.110092,75000.0,0.109,104119.266055,11349.0,441.031745,True,27772.614481,0.109,0.109,13549,20422.630859,459.336578,3986.788818,11.523176
44,ILA,Infralimbic area,159344.287432,91201.477584,8874.980398,43344.496524,15923.332927,68142.809848,1.793469,,,,,81514.475711,1.793469,1.793469,285779,21912.046875,4142.034668,5648.622559,1613.179199
45,SPVOrdm,"Spinal nucleus of the trigeminal, oral part, rostral dorsomedial part",109015.052456,44431.199635,11044.549187,41297.856165,12241.447469,64583.85282,0.102766,170436.369165,17515.0,1008.430464,True,20328.57951,0.102766,0.102766,11203,17813.984375,2765.862061,3891.967529,26.531048
46,mfbsma,mammillary related,108307.114346,0.0,10800.657431,91506.926509,5999.530406,108307.114346,0.266188,,,,,,,0.266188,28830,,,,
48,ACAv,"Anterior cingulate area, ventral part",158988.877139,87184.884121,10810.860397,33610.457783,27382.674838,71803.993018,2.452719,,,,,81654.070469,2.452719,2.452719,389955,20397.933594,3389.318115,3863.013184,2788.227783
50,PRC,Precommissural nucleus,189073.249696,104676.64913,10386.078511,52707.405908,21303.116147,84396.600567,0.077219,156598.408202,12092.333333,1189.076252,True,115147.6027,0.077219,0.077219,14600,27383.5625,231.996201,12363.170898,24.34971
51,ILM,Intralaminar nuclei of the dorsal thalamus,169359.920472,94435.023293,9905.073777,34091.417656,30928.405746,74924.897179,1.603219,,,,,93005.01652,1.603219,1.603219,271521,466.973083,169.944916,291.875732,5.152531
52,ENTl3,"Entorhinal area, lateral part, layer 3",148466.582217,92160.981789,5727.84641,27216.381745,23361.372273,56305.600428,1.344484,66661.987054,89626.0,5165.648459,True,75593.203903,1.344484,1.344484,199611,15666.205078,1757.179199,6597.158691,1736.914917
53,SPVOmdmd,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, dorsal zone",121257.210124,50853.443202,9756.327251,39684.520306,20962.919364,70403.766922,0.053094,147230.135374,7817.0,880.027272,True,25626.933719,0.053094,0.053094,6438,13346.207031,4705.017578,8638.330078,2.861343
55,PVHap,"Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part",130338.939198,51053.040104,4450.194049,64476.06727,10359.637775,79285.899094,0.096625,103072.013799,9959.333333,255.656671,True,29861.784022,0.096625,0.096625,12594,29861.785156,290.889404,9191.977539,19.885969
56,ACB,Nucleus accumbens,126450.199461,67429.433962,10731.102041,39522.96958,8766.693878,59020.765499,5.072266,146166.898216,741397.333333,8902.914373,True,44290.659707,5.072266,5.072266,641389,44290.65625,459.425415,5513.504883,43.366653
59,IMD,Intermediodorsal nucleus of the thalamus,163161.361142,96289.791438,7279.912184,22265.642152,37326.015368,66871.569704,0.22775,100184.412733,22817.0,1050.651703,True,87856.782708,0.22775,0.22775,37160,0.0,0.0,0.0,0.0
60,ENTl6b,"Entorhinal area, lateral part, layer 6b",175770.793244,106735.086594,1566.816335,53613.855035,13855.035279,69035.70665,0.146156,134885.325351,19714.333333,343.895818,True,108922.523787,0.146156,0.146156,25690,14098.62207,1207.891479,9384.845703,1085.635254
61,SPVOmdmv,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, ventral zone",104949.286066,41106.843919,8775.972427,37514.524865,17551.944855,63842.442147,0.063469,145877.564418,9258.666667,830.833517,True,15873.145403,0.063469,0.063469,6661,15873.145508,4027.811035,7032.375977,2.364433
62,mlf,medial longitudinal fascicle,77319.997802,0.0,11671.374402,60068.80255,5579.82085,77319.997802,1.137313,,,,,,,1.137313,87937,,,,
63,PVHd,"Paraventricular hypothalamic nucleus, descending division",181082.795068,115241.338814,14449.79448,38896.065766,12495.596007,65841.456254,0.053219,,,,,122727.455161,0.053219,0.053219,9637,51306.722656,23.882811,14918.12793,30.106546
64,AD,Anterodorsal nucleus,226411.119239,127660.570593,14156.547184,46080.468178,38513.533285,98750.548647,0.170875,140917.824921,24079.333333,1619.912446,True,156903.514733,0.170875,0.170875,38688,2121.360596,1238.898926,877.762268,4.699947
66,LT,Lateral terminal nucleus of the accessory optic tract,140244.37299,62868.167203,10289.389068,57517.684887,9569.131833,77376.205788,0.009719,221084.673098,2148.666667,153.60447,True,44297.997311,0.009719,0.009719,1363,12998.405273,315.148621,12683.255859,0.0
67,INC,Interstitial nucleus of Cajal,142532.844281,67563.854618,9539.179727,44857.619206,20572.19073,74968.989663,0.046859,127580.304546,5978.333333,704.632055,True,53091.526793,0.046859,0.046859,6679,53091.527344,9017.414062,8223.477539,107.255234
68,FRP1,"Frontal pole, layer 1",59618.090452,34669.346734,781.909548,9465.326633,14701.507538,24948.743719,0.4975,87896.147404,43728.333333,13292.831088,True,15976.561761,0.4975,0.4975,29660,15976.561523,278.712494,967.083984,1712.597168
69,SPVOvl,"Spinal nucleus of the trigeminal, oral part, ventrolateral part",97776.451486,36096.370738,11431.079124,44800.280862,5448.720762,61680.080748,0.356047,166008.104036,59106.666667,1125.60443,True,11975.288032,0.356047,0.356047,34813,10402.685547,2645.959473,4160.772461,5.156394
71,PVHm,"Paraventricular hypothalamic nucleus, magnocellular division",277413.353338,198169.542386,17668.417104,37881.470368,23693.923481,79243.810953,0.041656,,,,,271718.283799,0.041656,0.041656,11556,29246.662109,0.0,10087.642578,328.140991
72,ADP,Anterodorsal preoptic nucleus,136639.118457,67677.292405,4709.95671,61808.736718,2443.132625,68961.826053,0.039703,130636.232454,5186.666667,205.208025,True,46965.857179,0.039703,0.039703,5425,46965.855469,349.827606,1584.098633,4.746843
74,VISl6a,"Lateral visual area, layer 6a",190450.677189,88454.729658,9978.457929,65515.196758,26502.292844,101995.947531,0.146516,149215.029683,21862.333333,1282.898801,True,83644.552542,0.146516,0.146516,27904,16181.868164,2945.835205,4942.842285,962.016541
77,SPVOcdm,"Spinal nucleus of the trigeminal, oral part, caudal dorsomedial part",131066.614725,58215.816128,8676.275808,39516.945851,24657.576938,72850.798598,0.040109,189357.226334,7595.0,442.054295,True,35038.679255,0.040109,0.040109,5257,21974.294922,6045.567383,15920.481445,7.932189
78,mcp,middle cerebellar peduncle,115566.021867,0.0,27878.266829,67668.193004,20019.562035,115566.021867,2.006438,,,,,,,2.006438,231876,,,,
79,PVHmm,"Paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part",310951.724138,225544.827586,18096.551724,33434.482759,33875.862069,85406.896552,0.009062,237609.195402,2153.333333,89.00749,True,322827.085138,0.009062,0.009062,2818,84607.960938,0.0,4040.588379,240.002396
82,NLLd,"Nucleus of the lateral lemniscus, dorsal part",100210.404957,35361.867704,7290.964116,47518.08618,10039.486958,64848.537253,0.216844,118613.825239,25720.666667,176.029354,True,10126.182171,0.216844,0.216844,21730,10126.181641,3930.866211,2299.165039,6.888397
